customer_id,mes,idade,regiao,plano,canal_aquisicao,tenure_meses,mensalidade,uso_horas,tickets_suporte,atraso_pagamento_dias,satisfacao,cancelou_prox_mes
2,2024-01,53,Sudeste,Basico,Email,20,42.07,7.79,1,2,2.93,1
4,2024-01,60,Sudeste,Basico,Ads,20,39.33,9.9,0,2,3.41,0
5,2024-01,24,Norte,Plus,Parceria,22,73.24,18.26,0,2,4.29,0
6,2024-01,62,Sul,Basico,Ads,20,41.74,4.68,0,5,3.39,0
7,2024-01,58,Sudeste,Basico,Indicacao,5,38.56,12.44,0,0,3.43,0
9,2024-01,53,Nordeste,Basico,Organico,7,38.06,8.79,0,2,3.58,1
10,2024-01,42,Sudeste,Basico,Indicacao,19,42.21,13.54,0,2,3.52,0
11,2024-01,30,Centro-Oeste,Plus,Organico,16,79.19,16.93,0,3,3.71,0
15,2024-01,42,Sudeste,Premium,Parceria,20,127.98,24.78,0,5,4.05,0
18,2024-01,41,Norte,Basico,Email,2,44.15,15.08,0,2,3.56,1
19,2024-01,19,Sudeste,Basico,Organico,18,41.29,15.22,0,0,3.68,0
21,2024-01,20,Sudeste,Basico,Organico,6,36.71,5.74,0,0,3.4,0
22,2024-01,21,Centro-Oeste,Plus,Ads,23,75.39,17.16,0,1,3.72,0
23,2024-01,59,Sul,Plus,Parceria,16,67.96,23.44,0,3,4.14,0
24,2024-01,58,Sul,Plus,Indicacao,8,77.94,15.04,0,0,3.85,0
25,2024-01,57,Sudeste,Basico,Indicacao,22,40.14,8.27,0,0,3.84,0
26,2024-01,20,Nordeste,Premium,Organico,11,122.54,27.28,1,2,3.34,0
27,2024-01,21,Sudeste,Plus,Ads,5,77.12,19.53,0,1,3.66,0
29,2024-01,45,Nordeste,Plus,Organico,21,69.76,21.65,0,1,3.32,0
30,2024-01,34,Sudeste,Premium,Organico,0,118.02,24.25,0,3,3.84,0
34,2024-01,33,Centro-Oeste,Plus,Indicacao,17,66.06,20.85,0,0,3.86,0
37,2024-01,61,Nordeste,Plus,Parceria,11,73.16,18.23,0,1,3.86,0
38,2024-01,18,Sudeste,Basico,Indicacao,4,41.41,12.83,0,2,3.78,0
39,2024-01,38,Nordeste,Plus,Parceria,2,66.53,9.98,2,1,3.26,0
40,2024-01,57,Sudeste,Plus,Ads,4,67.75,24.54,1,3,3.75,1
41,2024-01,51,Sudeste,Basico,Parceria,12,42.08,13.61,0,1,3.58,0
44,2024-01,35,Nordeste,Basico,Organico,9,40.41,16.02,0,2,3.32,0
46,2024-01,25,Sudeste,Basico,Ads,8,39.83,13.35,0,0,3.71,0
48,2024-01,46,Nordeste,Basico,Indicacao,0,40.13,22.52,2,1,3.45,0
49,2024-01,50,Sudeste,Plus,Ads,5,71.24,23.97,0,1,4.8,0
50,2024-01,23,Nordeste,Plus,Organico,19,66.88,16.02,0,4,3.45,0
52,2024-01,35,Norte,Basico,Ads,11,39.75,15.95,0,0,3.73,0
53,2024-01,42,Sudeste,Premium,Ads,15,122.29,21.26,0,1,3.61,0
54,2024-01,64,Sudeste,Plus,Ads,16,75.36,21.81,1,8,2.85,0
56,2024-01,65,Sudeste,Basico,Indicacao,20,38.42,9.37,0,1,3.02,0
59,2024-01,38,Nordeste,Basico,Indicacao,23,40.02,15.54,0,3,3.46,0
60,2024-01,32,Nordeste,Premium,Parceria,0,121.59,15.62,2,3,2.95,0
61,2024-01,54,Sudeste,Basico,Email,0,41.21,15.27,0,0,3.62,0
62,2024-01,51,Sudeste,Basico,Indicacao,9,35.46,11.73,0,1,3.21,0
64,2024-01,51,Sudeste,Plus,Email,7,69.16,18.83,0,4,3.54,0
65,2024-01,54,Sudeste,Basico,Parceria,6,40.95,15.11,0,3,3.9,0
66,2024-01,36,Sudeste,Premium,Ads,6,132.69,20.46,0,3,3.68,0
69,2024-01,34,Norte,Plus,Ads,9,63.67,18.96,0,2,3.42,0
74,2024-01,43,Nordeste,Plus,Parceria,8,70.88,19.16,0,6,3.72,0
76,2024-01,25,Nordeste,Basico,Organico,11,37.32,6.87,1,0,3.14,0
77,2024-01,52,Nordeste,Plus,Parceria,13,66.11,17.41,1,0,3.8,0
78,2024-01,25,Sudeste,Basico,Parceria,6,38.41,5.24,0,1,3.71,0
80,2024-01,58,Sudeste,Basico,Parceria,1,39.7,15.1,0,4,3.11,0
81,2024-01,62,Sudeste,Plus,Parceria,8,70.93,23.36,2,3,3.3,0
82,2024-01,65,Centro-Oeste,Plus,Ads,5,73.21,21.04,1,1,3.7,1
83,2024-01,63,Sudeste,Basico,Ads,12,41.41,16.81,0,0,3.23,0
